name,alpha
IYC,13.76876198
XLY,13.17476211
RTH,13.1252203
PPA,12.20239685
FDIS,12.03402329
ITA,11.9716334
VCR,11.30580873
XAR,10.45012993
IYJ,8.800848572
RXI,8.590985907
FIW,8.184814944
XLI,7.928695966
RGI,7.68183078
FIDU,7.260129536
VIS,7.149443355
UCC,6.666032664
FXD,6.627981254
RCD,6.570501778
CGW,6.392559592
INCO,6.369365364
PBS,6.133705135
EXI,6.064204598
PEJ,5.591134817
PEZ,5.389117818
FXR,5.299262273
IYT,5.264384966
PHO,5.247830858
PSCI,5.140627324
XTN,4.899365172
_PRN,4.722358134
UXI,4.578640436
PSCD,4.38671904
AIRR,3.628479083
PIO,2.979929244
PMR,2.88247822
CHII,2.187276513
RETL,2.097600384
CHIQ,1.759987835
EVX,0.155771731
IEV,0.000600596
CARZ,5.90E-05
SCC,2.49E-05
BJK,3.25E-06
WBIA,2.79E-07
SEA,2.72E-07
SIJ,8.26E-10
