name,alpha
RTH,10.40659535
PPA,10.39389108
IYC,10.34821175
XLY,10.335695
ITA,9.917521476
FDIS,9.182727621
VCR,8.848669074
XAR,8.523521747
IYJ,7.809230089
FIW,7.373799607
XLI,7.086256897
INCO,6.97465696
RGI,6.957656966
RXI,6.925596901
FIDU,6.50993707
VIS,6.431930455
CGW,5.881833428
EXI,5.375736207
RCD,5.279514576
FXD,5.277621082
UCC,5.225958822
IYT,4.984553206
FXR,4.949376945
PHO,4.760942701
PSCI,4.663887899
PBS,4.54797279
XTN,4.311802738
PEZ,4.287958133
UXI,4.184619013
_PRN,4.133601342
PEJ,3.879475631
PSCD,3.800911822
AIRR,3.22627228
PIO,2.9158157
PMR,2.407692546
CHII,2.34769434
CHIQ,1.892369753
RETL,1.830416859
CARZ,0.002837949
EVX,0.002351083
SEA,0.000143529
IEV,0.000130101
BJK,4.85E-05
SCC,1.94E-05
SIJ,8.08E-06
WBIA,1.93E-06
